question_num,question,expected_output,actual_output,num_contexts,hallucination_score,hallucination_success,correctness_score,correctness_success
11,Which dish was inspired by a royal recipe?,No historical or royal inspiration is mentioned for any dish.,"

The provided information does not mention any dish inspired by a royal recipe. The context focuses on neural information processing systems, evaluation methods for tasks like dialogue retention, and citations to research papers (e.g., Maharana et al. [65]) related to long conversational interactions. There is no reference to culinary dishes, recipes, or historical/royal culinary practices in the given text.",3,1.0,False,1.0,True
12,Which dish is famous on social media?,Social media popularity data is not available.,"

The provided context does not mention any specific dish or culinary topic. The cited works focus on evaluating conversational agents (""SocialBench""), benchmarking multimodal internet agents (""Spa-bench""), and other AI-related research. There is no information about dishes, social media trends, or food-related content in the given excerpts. Therefore, the question cannot be answered based on the context provided.",3,0.0,True,0.2,False
13,Which dish generates the highest profit for the restaurant?,Profitability data per dish is not provided.,"

The provided context does not contain any information related to restaurant dishes, their costs, pricing, sales data, or profit calculations. The context focuses on evaluating the performance and cost efficiency of AI agents (likely LLM-based systems) in terms of metrics like task completion, latency, and token-based operational costs. It does not discuss food service, culinary products, or financial metrics specific to restaurant operations. Therefore, the question cannot be answered using the given material.",3,1.0,False,1.0,True
14,Which dish is considered the house specialty worldwide?,There is no information defining a worldwide house specialty.,"

The provided context does not contain any information related to culinary dishes or house specialties. The context discusses Role-Based Access Control (RBAC), the ""World of Bits"" platform for web-based agents, and the HELM benchmark for enterprise scenarios in fields like finance and law. There is no mention of food, restaurants, or specific dishes in the given material. Therefore, the question cannot be answered based on the provided context.",3,1.0,False,1.0,True
15,Which dish has been on the menu since the restaurant opened?,Historical menu longevity details are not available.,"

The provided context does not contain any information related to a specific restaurant, its menu, or dishes that have been available since its opening. The context focuses on topics such as long-term conversational memory in AI agents (e.g., Maharana et al.'s work), technical references to AI tools (e.g., BabyAGI, NVIDIA's LLM metrics, OpenAI Evals), and author names. There is no mention of culinary details, menus, or restaurant history. Therefore, the question cannot be answered based on the given material.",3,0.0,True,0.2,False
16,Which dish was inspired by the chef’s travels abroad?,Chef travel inspirations are not documented.,"

The provided context does not contain any information related to a dish inspired by a chef’s travels abroad. The context exclusively discusses academic papers in the fields of artificial intelligence, machine learning, and web navigation (e.g., ""Self-Evolving LLM-Based Agents for AI Diplomacy"" and ""WebLINX: Real-World Website Navigation with Multi-Turn Dialogue""). There is no mention of culinary topics, chefs, or dishes. Therefore, the question cannot be answered based on the given context.",3,1.0,False,0.2,False
17,Which dish is recommended for first-time visitors?,No recommendations for first-time visitors are specified.,"

The provided context does not contain any information related to dishes, culinary recommendations, or domain-specific policies for food. The cited works ([63], [64], and Maharana et al. [65]) focus on topics such as **website navigation with multi-turn dialogue (WebLINX)**, **long-term conversational memory in AI agents**, and adherence to domain-specific policies (though the latter is cut off in the excerpt). There is no mention of food, dining, or recommendations for first-time visitors in any of the referenced material. 

To answer the question accurately, additional context about restaurants, cuisines, or specific policies related to food recommendations would be required.",3,0.0,True,1.0,True
18,Which dish customers regret not ordering?,Customer regret or sentiment data is not available.,"

The question ""Which dish customers regret not ordering?"" cannot be answered based on the provided context. The context focuses on **adversarial attacks on AI systems** (e.g., coreference-based attacks to bypass safety rules) and references academic papers related to machine comprehension (SQuAD dataset) and AI safety research. There is no mention of dishes, food, customer preferences, or restaurant-related topics in the given material. The cited authors (e.g., Pranav Rajpurkar, Percy Liang) and their works are unrelated to culinary studies. For an accurate answer, additional context about food, restaurants, or customer reviews would be required.",3,1.0,False,1.0,True
19,Which dish is most ordered late at night?,Time-based ordering patterns are not provided.,"

The provided context does not contain any information related to dishes, food ordering habits, or time-specific consumption patterns. The context primarily lists academic papers, authors, and technical terms associated with neural information processing systems, performance metrics (e.g., latency, token usage), and evaluation frameworks (e.g., SWE-bench, MobileAgent). There is no mention of food, dining, or late-night ordering trends. Therefore, the question cannot be answered based on the given context.",3,0.0,True,1.0,True
20,Which dish defines the brand identity of the restaurant?,Brand-defining dishes are not explicitly identified.,"

The provided context does not contain any information related to restaurants, dishes, or brand identity. The context discusses enterprise-focused topics such as the HELM benchmark (with domain-specific metrics for finance/law), Role-Based Access Control (RBAC), and academic references. There is no mention of culinary establishments, signature dishes, or brand-defining elements of a restaurant. The question falls outside the scope of the given material.",3,0.0,True,1.0,True
