name,description,cuisine,course,diet,ingredients_name,ingredients_quantity,prep_time (in mins),cook_time (in mins),instructions,Season
Spinach Stir Fry Recipe With Garlic,Spinach Stir Fry Recipe With Garlic is a healthy dish packed with nutrients.  Spinach leaves are finely chopped and stir fried in butter seasoned with some salt pepper and garlic. ,Continental,Side Dish,Vegetarian,"Spinach Leaves (Palak), Garlic, Butter (Salted), Salt, Black pepper powder, Mixed Herbs (Dried)","4 cups Spinach Leaves (Palak) , finely chopped  6 cloves Garlic , finely chopped  1 tablespoon Butter (Salted) Salt , to taste  1/2 teaspoon Black pepper powder  1/2 teaspoon Mixed Herbs (Dried)",10,14,"To begin making the Spinach Stir Fry Recipe With Garlic, heat a pan with butter on medium heat, to this add garlic and saute until for a few seconds, until you can get the aromas coming through.To this add the spinach leaves and continue to stir fry until the spinach completely wilts down. This will take about 3-5 minutes on medium-high flame. Once the spinach is done, add the salt, pper and herbs. Mix well and serve.  Serve Spinach Stir Fry Recipe With Garlic along with a meal of Herbed Butter Rice Recipe With Rosemary & Thyme,  Chicken In Lemon Butter Sauce Recipe or Walnut Mushroom Veg Bolognese Recipe With A Twist.Finish the meal with a dessert of Rich Dark Chocolate Mousse Recipe",Winter
Lemon Rasam Recipe - Nimbe Saaru Recipe,"The Lemon Rasam Recipe, is a delicious spicy and tangy rasam that is made very simple using dal and tomatoes and flavored with ginger, green chillies and lemon.",South Indian,Lunch,Vegetarian,"Arharh Dal (Split Toor Dal), Tomatoes, Green Chilli, Ginger, Turmeric Powder (Haldi), Turmeric Powder (Haldi), Cooriander Powder (Didhaan), Cummin pepper Powder, Cooriander (Dhaania) Leaves, lemon, Ghee, Musterd seeds (rai/ kadugu), cumin seeds (esteem), curry leaves, asafoetida (hing)","1/4 cup Arhar dal (Split Toor Dal) , boiled  2 Tomatoes , roughly chopped  1 Green Chilli , slit  1 inch Ginger , roughly chopped  1 teaspoon Turmeric powder (Haldi)  1/2 teaspoon Turmeric powder (Haldi) , roughly pounded  1 teaspoon Coriander Powder (Dhania) , roughly pounded  1 teaspoon Cumin powder (Jeera)  1/2 teaspoon Black pepper powder Coriander (Dhania) Leaves , few sprigs, roughly chopped Salt , to taste  1 Lemon , juice extracted Ingredients for Seasoning 1 tablespoon Ghee , or sesame oil  1/2 teaspoon Mustard seeds (Rai/ Kadugu)  1 teaspoon Cumin seeds (Jeera)  1 sprig Curry leaves  1/4 teaspoon Asafoetida (hing)",10,20,"To begin making Lemon Recipe - Nimbe Saaru, first pressure cook toor dal along with turmeric and 2 cups of water for 3 whistles or until cooked. Allow the pressure to release naturally.Once the dal is cooked, whisk it well until dal is smooth and keep aside.Into a pressure cooker, add the chopped tomatoes, slit green chilli, ginger, coriander powder, cumin powder, turmeric powder, black pepper powder, salt, 2 cups of water and pressure cook for 1 whistle and turn off the heat. Allow the pressure to release naturally.Add the cooked dal, to the cooked tomato rasam, squeeze the lemon juice and stir in the coriander leaves. Check the salt and spices and adjust to taste.In a tadka pan over medium heat, add 1 tablespoon ghee . Once the oil is heated up, add the mustard seeds, cumin seeds and allow it to crackle. Add the asafoetida powder and curry leaves, stir it in and turn off the heat.Pour this tempering over the cooked Lemon Rasam and bring the rasam to a brisk boil. Boil for 2 to 3 minutes until you see the rasam frothing on the top.Adjust the consistency of the Lemon Rasam, by adding extra water if required. Check the salt and spices and lemon taste and adjust accordingly.Once done, turn off the heat, transfer the Lemon Rasam to a serving bowl and serve hot.Serve the Lemon Rasam along with hot steamed rice and a poriyal like Carrot and Beans Poriyal, Potato Roast and Beetroot Curry/Poriyal to make a sumptuous weeknight dinner or lunch.",Summer
"Vegetarian Mexican Tacos Recipe With Baked Beans, Peppers and Salad","Vegetarian Mexican Tacos is a very popular Mexican dish, that has the crisp tacos filled with salads, beans and topped with cheddar cheese and sour cream. The stuffing for these Taco shells is so varied that  are evolved according to palates.",Mexican,Main Course,High Protein Vegetarian,"Hard taco shells, Onion, Iceberg lettuce, Red Bell pepper (Capsicum), Green Bell Pepper (Capsicum), Cabbage (Patta Gobi/ Muttaikose), Tomatoes, Cumin powder (Jeera), Parsley leaves, Baked beans, Sour cream, Cheddar cheese, Salt and Pepper, Tabasco Original - Hot Sauce","12 Hard taco shells  1 Onion , thinly sliced  1 cup Iceberg lettuce , finely shredded  1 Red Bell pepper (Capsicum) , finely chopped  1 Green Bell Pepper (Capsicum) , finely chopped  1/2 cup Cabbage (Patta Gobi/ Muttaikose) , finely shredded  2 Tomatoes , finely chopped  1 teaspoon Cumin powder (Jeera) Parsley leaves , small bunch, finely chopped  400 grams Baked beans , canned  1/2 cup Sour cream  1/2 cup Cheddar cheese , grated Salt and Pepper , to taste Tabasco Original - Hot Sauce , to taste",20,20,"To begin making the Vegetarian Mexican Taco Recipe, we will first Prepare the Taco’s as per the instructions mentioned in the package or make homemade taco shells. Alternatively you could also use store bought taco shells. ",Monsoon
Bhaat Na Rasawala Muthia Dhokla Recipe | Gujarati Rasiya Dhokla,"If you love Kadhi Chawal, then you will absolutely love this one dish meal bowl which is a classic and traditional kathiyawadi dish called Bhaat Na Rasawala Muthia Dhokla made from rice dumplings simmered in a delicious kadhi.",Gujarati ﻿,Dinner,Vegetarian,"Cooked rice, Gram flour (besan), Red Chilli powder, Turmeric powder (Haldi), Salt, Gram flour (besan), Curd (Dahi / Yogurt), Water, Turmeric powder (Haldi), Red Chilli powder, Salt, Green Chilli, Ginger, Bay leaf (tej patta), Cinnamon Stick (Dalchini), Ghee, Cumin seeds (Jeera), Cinnamon Stick (Dalchini), Curry leaves","For Muthia Dhokla 1-1/2 cups Cooked rice  1/2 cup Gram flour (besan)  1/2 teaspoon Red Chilli powder  1/4 teaspoon Turmeric powder (Haldi)  1 teaspoon Salt For Kadhi 2 tablespoons Gram flour (besan)  1 cup Curd (Dahi / Yogurt)  3-1/2 cups Water  1/2 teaspoon Turmeric powder (Haldi)  1/2 teaspoon Red Chilli powder Salt , to taste  1 Green Chilli , slit  1 inch Ginger , finely chopped  1 Bay leaf (tej patta) , torn  1 inch Cinnamon Stick (Dalchini) , broken For Tadka 1 tablespoon Ghee  1 teaspoon Cumin seeds (Jeera)  1 inch Cinnamon Stick (Dalchini) , broken  1 sprig Curry leaves , torn",20,20,"To make Bhaat Na Rasawala Muthia Dhokla, prep all the ingredients and keep them ready.Into a large mixing bowl, combine all the muthia dhokla ingredients and mash the rice well until it forms a dough like consistency.Grease your palms, shape into small ovals (muthias) and keep aside.For kadhi, into a sauce pan combine the dahi, besan, turmeric powder, salt and red chilli powder and mix well to combine until there are no lumps.Add the 3 cups of water and bring to a brisk boil. Keep whisking the Kadhi as it continues to boil, as this makes it smooth and creamy, thus giving it a perfect texture.Once the kadhi has come together into a smooth and creamy mixture while it is boiling, turn the heat to low, add the ginger garlic, green chillies, cinnamon stick and simmer kadhi while we add the muthias.Add the muthia into the kadhi. Simmer for at least 5 minutes and you will notice the muthia‘s rising to the top and floating. Once it begins to float to the top, simmer the Bhaat Na Rasawala Muthia Dhokla for another 2 minutes.The final step is to prepare the tadka. Heat ghee in a saucepan on medium heat; add the cumin seeds and allow them to crackle. Stir in the curry leaves, cinnamon and give it a stir. Gradually, add the seasoning mixture to the above Rasiya Dhokla/Bhaat Na Rasawala Muthia Dhokla and allow the mixture to come to a brisk boil and turn off the heat.Serve the Bhaat Na Rasawala Muthia Dhokla as a one dish meal for any weeknight dinner when you are looking for a comforting meal.",Summer
Shimla Mirchi Panchamrut Recipe | Konkani Capsicum Cashew Peanut Sabzi,"Shimla Mirchi Panchamrut is a Konkani dish which is made from pan roasted capsicum, along with cashew nuts and steamed peanuts that is cooked along with freshly roasted and ground spices along with tamarind and jaggery. It has a spicy, sweet and nutty taste and flavour making it a refreshing dish.",Konkan,Main Course,Vegetarian,"Green Bell Pepper (Capsicum), Raw Peanuts (Moongphali), Cashew nuts, Coconut Oil, Mustard seeds (Rai/ Kadugu), Methi Seeds (Fenugreek Seeds), Asafoetida (hing), Turmeric powder (Haldi), Red Chilli powder, Jaggery, Cloves (Laung), Cinnamon Stick (Dalchini), Coriander (Dhania) Seeds, Cumin seeds (Jeera), Whole Black Pepper Corns, Methi Seeds (Fenugreek Seeds), Fresh coconut, Roasted Peanuts (Moongphali), Tamarind","2 Green Bell Pepper (Capsicum) , diced small  1/2 cup Raw Peanuts (Moongphali)  1/4 cup Cashew nuts , broken  1 tablespoon Coconut Oil  1/2 teaspoon Mustard seeds (Rai/ Kadugu)  1/4 teaspoon Methi Seeds (Fenugreek Seeds)  1/4 teaspoon Asafoetida (hing)  1/2 teaspoon Turmeric powder (Haldi)  1/2 teaspoon Red Chilli powder  1 teaspoon Jaggery For the Masala 4 Cloves (Laung)  1 inch Cinnamon Stick (Dalchini) , broken  1 tablespoon Coriander (Dhania) Seeds  1 teaspoon Cumin seeds (Jeera)  1 teaspoon Whole Black Pepper Corns  1/2 teaspoon Methi Seeds (Fenugreek Seeds)  1/4 cup Fresh coconut  2 tablespoons Roasted Peanuts (Moongphali) , shelled  20 grams Tamarind",20,20,"To begin making Shimla Mirchi Panchamrut Recipe, first prep all the ingredients and keep them ready.The first step is to make the masala.Heat a small pan over medium heat; add the cloves, cinnamon, black pepper, coriander seeds, cumin seeds, methi seeds and roast for a minute until the aromas of the spices come through.Once roasted, add the grated coconut and roast for a minute more and turn off the heat. Allow the mixture to cool a bit.Add the roasted masala into a small jar of the mixer grinder along with the peanuts and tamarind.Blend to make a powder without adding any water. This fresh masala will go over the cooked capsicum mixture. Keep this aside.Into a pressure cooked, add the raw peanuts along with 1/4 cup of water and pressure cook for 2 whistles. After 2 whistles turn the heat to low and simmer for 3 to 4 minutes and turn off the heat.Allow the pressure to release naturally. Once released, open the cooker and keep the cooked peanuts aside. Heat coconut oil in a pan; add the mustard seeds and methi seeds and allow it to crackle.Once it crackles, add the asafoetida and give it a stir.Next add the cashew nuts and capsicum and sprinkle a little salt and turmeric powder. Give the mixture a stir.Cover the pan and cook the capsicum until it is just about cooked. Take care not to overcook the capsicum and ensure it has a firm texture and is also cooked with a good bite.Once the capsicum has reached that stage, stir in the freshly roasted and ground masala, jaggery and the cooked peanuts into the cashew and capsicum mixture.Give it a stir until all the ingredients are well combined. Check the taste and add more salt if required and stir.Cover the pan and simmer the Shimla Mirchi Panchamrut for another 3 to 4 minutes so the masalas get well absorbed making the sabzi flavourful and tasty.Once done, turn off the heat and transfer the Shimla Mirchi Panchamrut to a serving bowl and serve hot.Serve the delicious Shimla Mirchi Panchamrut with Muga Ambat Recipe , hot rice and phulka for a wholesome meal",Monsoon
Naked Burrito Bowl Recipe,"Naked burrito bowl is a super healthy meal, which essentially is a burrito like meal minus the tortilla. This bowl is loaded with all the goodness of vegetables served with condiments having different flavours.  ",Mexican,Dinner,Vegetarian,"Garlic, Onion, Green zucchini, Carrot (Gajjar), Green Bell Pepper (Capsicum), Red Bell pepper (Capsicum), Button mushrooms, Extra Virgin Olive Oil, Salt, Brown Rice, Vegetable stock, Coriander (Dhania) Leaves, Garlic, Onion, Lemon, Lemon zest, Black pepper powder, Extra Virgin Olive Oil, Tomatoes, Onion, Coriander (Dhania) Leaves, Cumin powder (Jeera), Lemon, Black pepper powder, Pickled Jalapenos, Salt, Avocado, Lemon, Salt, Cashew nuts, Apple cider vinegar, Lemon juice, Salt, Water, Canned black beans, Iceberg lettuce, Sweet corn, Corn chips, Tabasco Original - Hot Sauce","For stir fried vegetables 1 tablespoon Garlic , minced  1 Onion , thinly sliced  1 Green zucchini , thinly sliced  1 Carrot (Gajjar) , thinly sliced  1/2 Green Bell Pepper (Capsicum) , thinly sliced  1/2 Red Bell pepper (Capsicum) , thinly sliced  1/4 cup Button mushrooms , thinly sliced Extra Virgin Olive Oil , for cooking Salt , to taste For lemon coriander rice 1 cup Brown Rice , washed and soaked  2 cups Vegetable stock Coriander (Dhania) Leaves , Few sprigs finely chopped  1 tablespoon Garlic , minced  1/2 Onion , finely chopped  1 Lemon , juiced  1/4 teaspoon Lemon zest  1 teaspoon Black pepper powder Extra Virgin Olive Oil , for cooking For pico de gallo/salsa fresca 3 Tomatoes , seeded and finely diced  1 Onion , finely chopped Coriander (Dhania) Leaves , few sprigs chopped  1/2 teaspoon Cumin powder (Jeera)  1 Lemon , juiced  1/2 teaspoon Black pepper powder  1/4 cup Pickled Jalapenos , chopped Salt , to taste For guacamole 1 Avocado , pitted and mashed with a fork  1 Lemon , juiced Salt , to taste For vegan sour cream 1/4 cup Cashew nuts , soaked for 1 hour minimum  1 teaspoon Apple cider vinegar  1 teaspoon Lemon juice Salt , to taste  1 tablespoon Water For other Ingredients 1 cup Canned black beans  1 cup Iceberg lettuce , torn  1 cup Sweet corn , steamed/roasted Corn chips , as needed Tabasco Original - Hot Sauce , as needed",14,40,"To begin with Naked Burrito Bowl, firstly we will first prepare the roasted vegetables.",Summer
Gehun Ki Bikaneri Khichdi Recipe (Wheat Kernel and Moong Dal Khichdi),Gehun Ki Bikaneri Khichdi Recipe (Wheat Kernel And Moong Dal Khichdi) is a lentil preparation made by blending wheat kernel and moong dal in pressure cooker till it is well done. The Khichdi is then given a tempering with the Indian spice.,Rajasthani,Dinner,High Protein Vegetarian,"Wheat Berries/ Whole Wheat, Yellow Moong Dal (Split), Ghee, Cumin seeds (Jeera), Green Chillies, Asafoetida (hing), Cinnamon Stick (Dalchini), Salt","1 cup Wheat Berries/ Whole Wheat  1/4 cup Yellow Moong Dal (Split) For Tadka 1 tablespoon Ghee  1/2 teaspoon Cumin seeds (Jeera)  2 Green Chillies , slit  1/4 teaspoon Asafoetida (hing)  1 inch Cinnamon Stick (Dalchini) Salt , to taste",20,30,"To begin making the Gehun ki Bikaneri Khichdi Recipe, we will soak the gehun (whole wheat) in water for at least 8 hours or overnight. Once soaked, drain the water. Blend the wheat in a mixer to a coarse mixture.Add the soaked wheat, moong dal, and all the other remaining ingredients into the pressure cooker.Add 3-1/2 cups of water, add the salt to taste, cover the cooker, and allow it to cook until you hear 3 to 4 whistles.Turn the heat to low after 3 to 4 whistles and allow it to cook on low heat for another 3 to 4 minutes.Once done, turn off the heat and allow the pressure to release naturally.Heat a pan for preparing the tadka ,once done pour it over the Khichidi and serve warm.Serve the Gehun ki Bikaneri Khichdi along with Marwadi Gatte ki Kadhi Recipe for a wholesome lunch or dinner.",Winter
Lentil Tabbouleh Recipe (Middle Eastern Vegetarian Salad With Lentils),"Lentil Tabbouleh Recipe is a beautiful twisted version incorporating the healthy proteins into the traditional tabbouleh to make Middle Eastern Vegetarian Salad With Lentils. Tabbouleh is a Middle Eastern vegetarian salad, made using tomatoes, parsley and mint with a mild drizzle of olive oil. It is served as a part of the mezze in Arabic cuisine. Modern version makes use of bulgur wheat or couscous too. It is very light and refreshing making it a perfect summer salad. Serve Lentil Tabbouleh recipe- Middle Eastern Vegetarian Salad With Lentils as a part of the mezze for weeknight supper with perfect halloumi bruschetta, hummus, yogurt, couscous salad, Vegetarian Stromboli and sandwich with arugula or have it for lunch on a hot summer afternoon as a refreshing salad.",Middle Eastern,Side Dish,High Protein Vegetarian,"Masoor Dal (Whole), Cherry tomatoes, English Cucumber, Coriander (Dhania) Leaves, Mint Leaves (Pudina), Lemon juice, Extra Virgin Olive Oil, Whole Black Peppercorns, Salt","1 cup Masoor Dal (Whole)  8 Cherry tomatoes , halved  1 English Cucumber , finely chopped  5 sprig Coriander (Dhania) Leaves , or parsley leaves, finely chopped  5 sprig Mint Leaves (Pudina) , finely chopped  1 tablespoon Lemon juice  2 tablespoons Extra Virgin Olive Oil  1 pinch Whole Black Peppercorns , crushed Salt , to taste",10,20,"To begin making Lentil Tabbouleh Recipe- Middle Eastern Vegetarian Salad With Lentils, rinse the puny lentils or whole masoor dal in running tap water until the water turns clear.Boil dal in a wide pan with enough water and season with salt. Keep tasting the texture of the lentil to what you want for the salad and drain it and keep it in the refrigerator to cool.Now take a big salad bowl, add the lentils, finely chopped cucumber, halved cherry tomatoes, coriander, and mint leaves. Mix them well.Add the extra virgin olive oil and season with salt and pepper.Serve the Lentil Tabbouleh as a part of the mezze for a weeknight supper with halloumi bruschetta, hummus, yogurt, couscous salad, Vegetarian Stromboli and sandwich with arugula, or as a refreshing salad for lunch.",Summer
Shukto Recipe - Bengali Mixed Vegetable in Mustard and Poppy Seed Gravy,"The Shukto Recipe is delightful recipe of mixed vegetables that is cooked in a mustard and poppy seed masala, panch phoran and milk. This dish has a very strong taste of mustard and can be an acquired taste. One of the core vegetables that are added to this is the bitter gourd, along with raw banana, potatoes, carrot and drumstick. You can of course add your own choice of vegetables, and experiment with this dish. ",Bengali ,Lunch,Vegetarian,"Karela (Bitter Gourd/ Pavakkai), Raw Banana, Carrot (Gajjar), Potato (Aloo), Ridge Gourd (Turai/ Peerkangai), Drumstick, Panch Phoran Masala, Mustard seeds (Rai/ Kadugu), Poppy seeds, Milk, Sugar, Salt, Mustard oil, Turmeric powder (Haldi), Bay leaf (tej patta), Ginger, Green Chillies, Dry Red Chillies","1 Karela (Bitter Gourd/ Pavakkai) , small diced  1 Raw Banana , peeled and diced  1 Carrot (Gajjar) , peeled and diced  1 Potato (Aloo) , peeled and diced  1 Ridge Gourd (Turai/ Peerkangai) , peeled and diced  1 Drumstick , cut into 2 inch pieces  1 teaspoon Panch Phoran Masala  1 teaspoon Mustard seeds (Rai/ Kadugu)  2 teaspoons Poppy seeds  1/2 cup Milk  1 teaspoon Sugar Salt , to taste  2 teaspoons Mustard oil  1/4 teaspoon Turmeric powder (Haldi)  1 Bay leaf (tej patta)  1 inch Ginger , grated  2 Green Chillies , slit  2 Dry Red Chillies , broken",20,20,"To begin making the Shukto Recipe, first prepare all the vegetables and the ingredients and keep aside.Place all the vegetables including karela, raw banana, carrot, potato, ridge gourd, drumstick in the pressure cooker, sprinkle a little salt, 1/4 cup of water and cook for 3 to 4 whitles. After 3 to 4 whistles, turn off the heat and let the pressure release immediatlely by placing the cooker under running cold water. Open the lid and keep aside.Make a paste of 1 teaspoon of mustard seeds and 2 teaspoon of poppy seeds along with 1 ot 2 tablespoons of water. Heat mustard oil in a pan, add the ginger, bay leaf, green chillies, red chillies and stir fry for a few seconds.Next, add the turmeric powder, the poppy seed and mustard seed paste, the cooked vegetables, milk, salt and sugar. Stir well, add 1/4 cup of water and give the Shukto mixture a brisk boil.The Shukto will thicken as it is boiling and you can adjust the consistency by adding water or milk. Check the taste and adjust the salt accordingly.Once done, turn off the heat and serve immediately. Serve the Shukto along with Puri, Cholar Dal and Begun Bhaja for a delightful meal.",Winter
Maharashtrian Takatla Palak Recipe - Spinach Peanut Buttermilk Curry,"Takatla Palak Recipe is a delicious Maharashtrian recipe where spinach (palak) is cooked in a buttermilk gravy along with peanuts and chana dal lending to a delicious taste. This simple, slightly tangy curry served with rice is comforting not only in the hot summer months but all year round. Adjust the consistency of the curry to your liking. If it is served with rice, it usually has a thin soup like consistency or can be made thicker when it is to be served with chapati.",Maharashtrian ,Lunch,Vegetarian,"Spinach Leaves (Palak), Chana Dal (Bengal Gram Dal), RAW Peanuts (MoongPhali), Curd (Dahi / Yogurt), Gram Flour (Besan), Ghee, Garlic, Mustard Seeds (RAI / Kadugu) Green Chillies, Turmeric Powder (Haldi), Asafoetida (Hing), Jaggery, Salt","200 grams Spinach Leaves (Palak) , finely chopped  3 tablespoons Chana dal (Bengal Gram Dal) , soaked in hot water for 15 minutes  1/4 cup Raw Peanuts (Moongphali)  1/2 cup Curd (Dahi / Yogurt)  2 tablespoons Gram flour (besan)  1 teaspoon Ghee  3 cloves Garlic , crushed  1/2 teaspoon Mustard seeds (Rai/ Kadugu)  1/2 teaspoons Cumin seeds (Jeera)  3 Green Chillies , finely chopped  1/2 teaspoon Turmeric powder (Haldi)  1/2 teaspoon Asafoetida (hing)  1/2 teaspoon Jaggery Salt , to taste",20,30,"To begin making the Maharashtrian Takatla Palak Recipe, first prep all the ingredients and keep ready.In a mixing bowl, whisk together the yogurt, gram flour and 1/2 cup of water. Keep aside.Soak the chana dal in hot water for 15 minutes.Into the pressure cooker, add the chopped spinach leaves and cook for one whistle and turn off the heat. Release the pressure immediately, so the spinach remains green. Keep aside.Pressure cook the soaked chana dal and raw peanuts with 1/2 cup of water for about 3 to 4 whistles and turn off the heat. Allow the pressure to release naturally. Heat ghee in a pan over medium heat. Add the mustard seeds and cumin seeds and allow it to crackle. Stir in the garlic, asafoetida, turmeric, chillies and stir for a few seconds.Stir in the cooked spinach, the chana dal, the peanuts and the yogurt gram flour mixture. Add salt and little jaggery to taste and give the Takatla Palak a brisk boil, until it thickens a bit. Once done, check the salt and seasonings and adjust to suit your taste.Turn off the heat, transfer the Takatla Palak Recipe to a serving bowl and serve hot.Serve the Takatla Palak Recipe along with hot Steamed Rice, Maharashtrian Batatyacha Kees Recipe and Kosambari Salad for a weeknight dinner or a sunday lunch.",Summer
Asian Style Tofu in Spicy Orange Sauce Recipe,"Asian Style Tofu in Spicy Orange Sauce Recipe is prepared with tofu, as the name suggests. Tofu is one of the primary sources of Vegan protein and an excellent addition to your weekly protein quota. It also shines in Asian-style preparations since it is inherited to their cuisine. This Asian Style Tofu in Spicy Orange Sauce balances the sweet, sour and spicy flavors very well and makes for a great starter as well as an accompaniment to the main course dinner.",Asian,Dinner,High Protein Vegetarian,"Tofu, Orange Zest (Rind), Corn flour, Whole Black Peppercorns, All spice powder, Rice Vinegar, Brown Sugar (Demerara Sugar), Fresh orange juice, Sriracha sauce, Ginger, Sesame (Gingelly) Oil, Sesame seeds (Til seeds), Salt","400 grams Tofu , firm  2 teaspoon Orange Zest (Rind)  2 tablespoon Corn flour  1/2 teaspoon Whole Black Peppercorns , freshly ground  1/2 teaspoon All spice powder  3 tablespoon Rice Vinegar  2 tablespoon Brown Sugar (Demerara Sugar)  1/2 Fresh orange juice  2 tablespoon Sriracha sauce  4 tablespoon Ginger , minced  2 teaspoon Sesame (Gingelly) Oil  1 teaspoon Sesame seeds (Til seeds) , toasted Salt , to taste",10,30,"To prepare Asian Style Tofu in Spicy Orange Sauce Recipe, toss tofu, cornstarch, orange zest, salt and ground pepper and all spice powder together in a mixing bowl and set aside.Whisk together vinegar, brown sugar, orange juice and sriracha sauce in another bowl and keep aside.In a pan over medium heat, cook tofu in sesame oil until the tofu begins to turn golden.Add ginger, garlic and continue to sauté for 2-3 minutes.Pour in the vinegar, orange juice mixture and cook until the liquid has reduced and starts to look a bit sticky. Adjust spices if requiredAdd sesame seeds and sauté further for a minute.Turn off heat and serve Asian Style Tofu in Spicy Orange Sauce Recipe warm as a starter or as a side dish during a weekday meal.Serve Asian Style Tofu In Spicy Orange Sauce along with Hakka Noodles for your weeknight dinner.",Monsoon
Mulakootal Recipe | South Indian Lentil & Coconut Vegetable Curry,"I’ve always found Mulakootal to be a cozy, home-style recipe perfect for a comforting meal. Hailing from Kerala in South India, this coconut-based dish brings together a medley of seasonal vegetables like brinjal, ash gourd, and raw banana. The creamy gravy, enriched by freshly ground coconut, and the aromatic spices create a delicate balance of flavors – mildly sweet from coconut, subtly spicy from red chillies, and warmly nutty from urad dal. Its texture is velvety, making each spoonful a delightful treat.",South Indian,Lunch,Vegetarian,"Small Green brinjal (green aubergine), Carrot (Gajjar), Vellai Poosanikai (Ash gourd/White Pumpkin), Drumstick, Raw Banana, Green beans, Arhar dal (Split Toor Dal), Turmeric powder (Haldi), Salt, Fresh coconut, White Urad Dal (Split), Dry Red Chillies, Cumin seeds (Jeera), Coconut Oil, Mustard seeds (Rai/ Kadugu), White Urad Dal (Split), Dry Red Chillies, Curry leaves","Vegetables 3 Small Green brinjal (green aubergine) , diced  1 Carrot (Gajjar) , diced  1 cup Vellai Poosanikai (Ash gourd/White Pumpkin) , peeled and diced  1 Drumstick , cut into 2 inch pieces  1 Raw Banana , peeled and diced  5 Green beans , cut into 1 inch pieces Lentils & Seasoning 1/2 cup Arhar dal (Split Toor Dal)  1 teaspoon Turmeric powder (Haldi) Salt , to taste To be ground in a paste 1/2 cup Fresh coconut , grated  2 teaspoons White Urad Dal (Split)  3 Dry Red Chillies  1 teaspoon Cumin seeds (Jeera) For the tempering 1 teaspoon Coconut Oil  1/2 teaspoon Mustard seeds (Rai/ Kadugu)  1 teaspoon White Urad Dal (Split)  1 Dry Red Chillies  1 sprig Curry leaves , roughly torn",15,30,"To begin making the Mulakootal recipe, prepare all the ingredients and keep them ready for easy cooking.First prepare the vegetables. Wash, peel, and dice all your chosen vegetables. Into a pressure cooker, add the vegetables along with a sprinkle of salt and 1/4 cup of water. Pressure cook for 3 to 4 whistles and turn off the heat. Allow the pressure to release naturally. Transfer the vegetables to a bowl and keep aside.Rinse the Arhar dal thoroughly under running water. In the same pressure cooker, cook the Arhar dal along with 3/4 cup of water for 2 whistles. After 2 whistles, turn the heat to low and simmer for 3 minutes and turn off the heat. Allow the pressure to release naturally. Once released, open the lid and lightly mash the dal and keep aside.Next step is to roast the spices for the coconut paste.In a small pan, dry roast the urad dal (2 teaspoon) and dry red chillies (3) over low to medium heat for 2–3 minutes or until you get a nutty aroma and a slight golden color on the dal.Take care not to burn them; stir continuously.Transfer the roasted urad dal and chillies to a mixer/grinder. Add the grated fresh coconut and cumin seeds.Grind to a smooth paste, adding a little water if required. The consistency of this paste determines the creaminess of your Mulakootal recipe.Final step is to combine vegetables, dal & coconut paste. Into a large pan, add the cooked vegetables, pour in the boiled and mashed dal and stir in the freshly ground coconut paste.Turn on the heat to medium, let the Mulakootal mixture simmer over low heat for about 5 minutes. This allows the flavors to blend beautifully and ensures there’s no raw coconut taste left. Check the salt and adjust according to taste.To prepare the tempering (tadka), in a small tadka pan, heat the coconut oil.Add mustard seeds; once they begin to splutter, toss in the 1 teaspoon of urad dal, the dry red chilli, and a handful of curry leaves.Sauté this for about 2 minutes, until the urad  dal becomes golden brown, crisp and aromatic.Pour the tempering over the simmering Mulakootal. Give your Mulakootal recipe a final stir.Adjust salt if needed and transfer to a serving bowl, and serve piping hot.Enjoy Mulakootal with steaming hot rice for a true taste of Kerala’s heritage. You can also pair it with a simple pickle or papad on the side. For a more complete meal, serve it alongside a crunchy salad or a yogurt-based raita.",Winter
