user_input,retrieved_contexts,response,reference,hallucinations_metric,hallucinations_rubric,hallucinations_binary
Which dish was inspired by a royal recipe?,"['resolution. Advances in Neural Information Processing Systems 37 (2024), 51963–\n51993.\n[91] Harsh Trivedi, Tushar Khot, Mareike Hartmann, Ruskin Manku, Vinty Dong,\nEdward Li, Shashank Gupta, Ashish Sabharwal, and Niranjan Balasubramanian.', 'tive criteria, assessing responses according to the criteria provided\nthrough instructions. This method has gained traction due to its\nability to handle tasks that are subjective and nuanced, such as\nsummarization, reasoning, and conversational interactions. One', 'text retention in long dialogues (40+ turns). An agent might be\ngiven a conversation that spans dozens of exchanges and later\nasked questions that require recalling details from early in the\nconversation. Maharana et al. [ 65] demonstrate evaluation with']","

The provided context does not contain any information about a dish inspired by a royal recipe. The text focuses on evaluation methodologies for tasks like summarization and reasoning, particularly in the context of long dialogues and text retention, as discussed in the referenced work by Maharana et al. [65]. There is no mention of culinary topics, historical recipes, or related details. Therefore, the question cannot be answered based on the given context.",No historical or royal inspiration is mentioned for any dish.,0.0,1,1
Which dish is famous on social media?,"['resolution. Advances in Neural Information Processing Systems 37 (2024), 51963–\n51993.\n[91] Harsh Trivedi, Tushar Khot, Mareike Hartmann, Ruskin Manku, Vinty Dong,\nEdward Li, Shashank Gupta, Ashish Sabharwal, and Niranjan Balasubramanian.', '2024. SocialBench: Sociality Evaluation of Role-Playing Conversational Agents.\narXiv:2403.13679 [cs.CL] https://arxiv.org/abs/2403.13679\n[10] Jingxuan Chen, Derek Yuen, Bin Xie, Yuhao Yang, Gongwei Chen, Zhihao Wu,\nLi Yixing, Xurui Zhou, Weiwen Liu, Shuai Wang, et al .2024. Spa-bench: A', 'marking multihop multimodal internet agents. doi:10.48550/arXiv.2404.09992\n[125] Lianmin Zheng, Wei-Lin Chiang, Ying Sheng, Siyuan Zhuang, Zhanghao Wu,\nYonghao Zhuang, Zi Lin, Zhuohan Li, Dacheng Li, Eric Xing, et al .2023. Judging']","

The provided context does not mention any specific dishes or culinary trends related to social media. The cited works focus on evaluating conversational agents (SocialBench), multimodal AI benchmarks (Spa-bench), and other technical AI research, with no reference to food, cuisine, or social media popularity of dishes. Therefore, the question cannot be answered based on the given context.",Social media popularity data is not available.,0.25,1,1
Which dish generates the highest profit for the restaurant?,"['Financial Decision Making. In Advances in Neural Information Processing Sys-\ntems, A. Globerson, L. Mackey, D. Belgrave, A. Fan, U. Paquet, J. Tomczak, and\nC. Zhang (Eds.), Vol. 37. Curran Associates, Inc., 137010–137045.\n[112] Tongxin Yuan, Zhiwei He, Lingzhong Dong, Yiming Wang, Ruijie Zhao, Tian', 'the highest-level view in evaluation and offers the most direct\ninsight into the user experience. This category encompasses aspects\nsuch as task completion, output quality, latency, and cost.\n3.1.1 Task Completion: Task completion is a fundamental objec-', 'crucial role in determining the practicality of deploying agents\nat scale. We include cost as a measure of an agent’s monetary\nefficiency. It is typically estimated based on the number of input and\noutput tokens, which directly correlate with usage-based pricing\nin most LLM deployments.']","

The provided context does not contain any information related to restaurant dishes, profit calculations, cost structures of food items, or financial metrics specific to culinary operations. The text focuses on evaluating LLM (Large Language Model) agent performance through metrics like task completion, latency, and token-based cost efficiency in computational deployments. 

To determine which dish generates the highest profit for a restaurant, one would need data on ingredient costs, labor, pricing, sales volume, and overhead allocation for each dish—none of which are mentioned in the context. The answer cannot be derived from the given material.",Profitability data per dish is not provided.,0.33333333333333337,1,1
Which dish is considered the house specialty worldwide?,"['tings is the need to account for Role-Based Access Control (RBAC),\nwhich governs users’ permissions to access data and services. In\nthese environments, users operate with varying levels of access', 'pdf/2411.05349\n[85] Tianlin Shi, Andrej Karpathy, Linxi Fan, Jonathan Hernandez, and Percy Liang.\n2017. World of bits: An open-domain platform for web-based agents. In Interna-\ntional Conference on Machine Learning . PMLR, 3135–3144.', 'the HELM benchmark [ 51] for enterprises was proposed to include\ndomain-specific prompts and metrics (such as accuracy on financial\njargon or compliance in responses) for fields like finance and law.\nThe process involves gathering representative enterprise scenarios']","

The question about a dish considered a house specialty worldwide cannot be answered using the provided context. The context focuses on **Role-Based Access Control (RBAC)**, the **""World of Bits"" platform** for web-based AI agents, and the **HELM benchmark** for enterprise scenarios (e.g., finance, law), with no mention of culinary dishes, food, or global specialties. The information required to address the question is absent from the given sources.",There is no information defining a worldwide house specialty.,0.125,1,0
Which dish has been on the menu since the restaurant opened?,"['emergent behaviors across multi-day interactions. Similarly, Maha-\nrana et al. [ 65] evaluated long-term conversational memory through\n600-turn dialogues, focusing on how well agents maintain coher-\nence and context over extended conversations.5.4 Adherence to Domain-Specific Policies and', 'Yao, Jue Wang, Keshav Santhanam, Laurel Orr, Lucia Zheng, Mert Yuksekgonul,\nMirac Suzgun, Nathan Kim, Neel Guha, Niladri Chatterji, Omar Khattab, Peter\nHenderson, Qian Huang, Ryan Chi, Sang Michael Xie, Shibani Santurkar, Surya', 'foundry\n[69] Yohei Nakajima. 2023. Babyagi. GitHub repository (2023).\n[70] Nvidia. 2024. LLM Benchmark Metrics. https://docs.nvidia.com/nim/\nbenchmarking/llm/latest/metrics.htm\n[71] OpenAI. 2023. OpenAI Evals. https://github.com/openai/evals']","

The provided context does not contain any information related to a specific restaurant, its menu, or dishes that have been available since its opening. The context focuses on topics such as long-term conversational memory in AI agents (e.g., Maharana et al.'s work), domain-specific policy adherence, and references to technical frameworks like NVIDIA's LLM metrics or OpenAI Evals. There is no mention of culinary details, menus, or restaurant operations. Therefore, the question cannot be answered based on the given material.",Historical menu longevity details are not available.,0.08333333333333337,1,0
Which dish was inspired by the chef’s travels abroad?,"['lieu: Self-Evolving LLM-Based Agents for AI Diplomacy. In Advances in Neural\nInformation Processing Systems , A. Oh, T. Naumann, A. Globerson, K. Saenko,\nM. Hardt, and S. Levine (Eds.), Vol. 38. Curran Associates, Inc., 0.', 'Yao, Jue Wang, Keshav Santhanam, Laurel Orr, Lucia Zheng, Mert Yuksekgonul,\nMirac Suzgun, Nathan Kim, Neel Guha, Niladri Chatterji, Omar Khattab, Peter\nHenderson, Qian Huang, Ryan Chi, Sang Michael Xie, Shibani Santurkar, Surya', '[63] Xing Han Lù, Zdeněk Kasner, and Siva Reddy. 2024. WebLINX: Real-World Web-\nsite Navigation with Multi-Turn Dialogue. (Feb. 2024). arXiv:2402.05930 [cs.CL]\n[64] Chang Ma, Junlei Zhang, Zhihao Zhu, Cheng Yang, Yujiu Yang, Yaohui Jin, Zhen-']","

The provided context does not contain any information about a dish inspired by a chef’s travels abroad. The context exclusively references to academic papers and authors in the fields of machine learning, natural language processing, and related technical topics (e.g., ""Self-Evolving LLM-Based Agents for AI Diplomacy"" and ""WebLINX: Real-World Website Navigation with Multi-Turn Dialogue""). There is no mention of culinary dishes, chefs, or travel-related culinary inspirations. Therefore, the answer cannot be determined from the given material.",Chef travel inspirations are not documented.,0.1428571428571429,1,1
Which dish is recommended for first-time visitors?,"['These directions are essential for building reliable and trustworthy\nLLM-based agents at scale.', '[63] Xing Han Lù, Zdeněk Kasner, and Siva Reddy. 2024. WebLINX: Real-World Web-\nsite Navigation with Multi-Turn Dialogue. (Feb. 2024). arXiv:2402.05930 [cs.CL]\n[64] Chang Ma, Junlei Zhang, Zhihao Zhu, Cheng Yang, Yujiu Yang, Yaohui Jin, Zhen-', 'emergent behaviors across multi-day interactions. Similarly, Maha-\nrana et al. [ 65] evaluated long-term conversational memory through\n600-turn dialogues, focusing on how well agents maintain coher-\nence and context over extended conversations.5.4 Adherence to Domain-Specific Policies and']","

The provided context does not mention any specific dishes, culinary recommendations, or domain-specific policies related to food or hospitality. The cited works focus on topics such as website navigation with multi-turn dialogue (WebLINX), long-term conversational memory in AI agents (Maharana et al.), and other computational linguistics research. There is no information about dishes for first-time visitors in the given material. 

Answer: The context does not provide information about recommended dishes for first-time visitors.",No recommendations for first-time visitors are specified.,0.125,1,1
Which dish customers regret not ordering?,"['versarial prompts designed to trick them into breaking safety rules\n(e.g., a user subtly asks for self-harm advice or illicit instructions).\nCoSafe revealed that even advanced agents had vulnerabilities,\nsuch as falling for coreference-based attacks (where a user refers to', 'Yao, Jue Wang, Keshav Santhanam, Laurel Orr, Lucia Zheng, Mert Yuksekgonul,\nMirac Suzgun, Nathan Kim, Neel Guha, Niladri Chatterji, Omar Khattab, Peter\nHenderson, Qian Huang, Ryan Chi, Sang Michael Xie, Shibani Santurkar, Surya', '[78] Pranav Rajpurkar, Robin Jia, and Percy Liang. 2018. Know what you don’t know:\nUnanswerable questions for SQuAD. arXiv preprint arXiv:1806.03822 (2018).\n[79] Pranav Rajpurkar, Jian Zhang, Konstantin Lopyrev, and Percy Liang.\n2016. SQuAD: 100,000+ Questions for Machine Comprehension of Text.']","

The provided context does not contain any information related to dishes, customer preferences, or dining experiences. The context discusses adversarial prompts targeting AI systems, vulnerabilities such as coreference-based attacks, and citations to research papers on machine comprehension (SQuAD). There is no mention of food, restaurants, or customer regrets about specific dishes. Therefore, the question cannot be answered based on the given context.",Customer regret or sentiment data is not available.,0.09999999999999998,1,0
Which dish is most ordered late at night?,"['resolution. Advances in Neural Information Processing Systems 37 (2024), 51963–\n51993.\n[91] Harsh Trivedi, Tushar Khot, Mareike Hartmann, Ruskin Manku, Vinty Dong,\nEdward Li, Shashank Gupta, Ashish Sabharwal, and Niranjan Balasubramanian.', 'Re-ReST [19], XMC-AGENT [59], SWE-bench [40]\nOutput Quality Coherence, User Satisfaction, Us-\nability, Likability, Overall QualityPredictingIQ [80], EnDex [98], PsychoGAT [101]\nLatency & Cost Latency, Token Usage, Cost Cluster diagnosis [ 84], MobileBench [ 18], MobileAgent-', 'Yao, Jue Wang, Keshav Santhanam, Laurel Orr, Lucia Zheng, Mert Yuksekgonul,\nMirac Suzgun, Nathan Kim, Neel Guha, Niladri Chatterji, Omar Khattab, Peter\nHenderson, Qian Huang, Ryan Chi, Sang Michael Xie, Shibani Santurkar, Surya']","

The provided context does not contain any information related to dishes, food ordering patterns, or time-specific consumption data. The context primarily discusses research papers, models (e.g., Re-ReST, XMC-AGENT), evaluation metrics (e.g., Output Quality Coherence, Latency), and author names in the field of machine learning and neural information processing. There is no mention of food, dining habits, or datasets about late-night orders. Therefore, the question cannot be answered based on the given context.",Time-based ordering patterns are not provided.,0.09090909090909094,1,1
Which dish defines the brand identity of the restaurant?,"['the HELM benchmark [ 51] for enterprises was proposed to include\ndomain-specific prompts and metrics (such as accuracy on financial\njargon or compliance in responses) for fields like finance and law.\nThe process involves gathering representative enterprise scenarios', 'resolution. Advances in Neural Information Processing Systems 37 (2024), 51963–\n51993.\n[91] Harsh Trivedi, Tushar Khot, Mareike Hartmann, Ruskin Manku, Vinty Dong,\nEdward Li, Shashank Gupta, Ashish Sabharwal, and Niranjan Balasubramanian.', 'tings is the need to account for Role-Based Access Control (RBAC),\nwhich governs users’ permissions to access data and services. In\nthese environments, users operate with varying levels of access']","

The provided context does not contain any information related to restaurants, dishes, or brand identity. The context discusses enterprise benchmarks (HELM), Role-Based Access Control (RBAC), and citations for academic papers, but it does not mention culinary topics. Therefore, the question cannot be answered using the given material.",Brand-defining dishes are not explicitly identified.,0.25,1,1
