Food_Combo_ID,Season,Combo_Type,Food_Menu_Item_Main,Food_Menu_Item_Side_Dish,Food_Menu_Item_Dessert_Name,Waste_Risk_Score,Waste_Risk_Level,Estimated_Waste_Reduction_Percentage,Recommended_Strategies
42,Summer,Dinner Combo (Soup+Main+Beverage),Lebanese Style Baked Chicken and Potatoes Recipe,Bhakarwadi Chat Recipe - Maharashtra Spaced Chaat,"Eggless Strawberry, Rose And Pistachio Cake Recipe",0.58,Medium,44,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
43,Summer,Lunch Combo (Main+Side+Dessert),Basil Pesto Grilled Chicken Recipe,Mooli Raita Recipe - Spiced Yogurt Salad with Radish,"Eggless Strawberry, Rose And Pistachio Cake Recipe",0.6,Medium,27,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
44,Summer,Dinner Combo (Soup+Main+Beverage),Basil Pesto Grilled Chicken Recipe,Karnataka Style BALEDINA Kosambari Recipe (Banana Stem Salad),"Eggless Strawberry, Rose And Pistachio Cake Recipe",0.535,Medium,47,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
45,Summer,Lunch Combo (Main+Side+Dessert),Slow Cooker Mexican Chicken Stew Recipe,Maharastrian Kairyichi Amti Recipe - Raw Mango Curry Recipe,Tiramisu Gingerbread Cupcake Recipe,0.555,Medium,34,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
46,Summer,Dinner Combo (Soup+Main+Beverage),Slow Cooker Mexican Chicken Stew Recipe,Macaroni chaat recipe,Tiramisu Gingerbread Cupcake Recipe,0.535,Medium,37,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
47,Summer,Lunch Combo (Main+Side+Dessert),Pudina Mushroom And Soya Biryani Recipe,Cauliflower In Coconut Milk Curry Recipe,Whole Wheat Lemon & Cranberry Muffins Recipe,0.6,Medium,27,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
48,Summer,Dinner Combo (Soup+Main+Beverage),Pudina Mushroom And Soya Biryani Recipe,Hariyali Pav Bhaji Recipe,Whole Wheat Lemon & Cranberry Muffins Recipe,0.535,Medium,38,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
49,Summer,Lunch Combo (Main+Side+Dessert),Andhra Pepper Chicken Recipe - Dry Restaurant Style Pepper Chicken,Peanut Raita Recipe - Boiled Peanut Raita Recipe,"Eggless Strawberry, Rose And Pistachio Cake Recipe",0.6,Medium,28,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
50,Summer,Dinner Combo (Soup+Main+Beverage),Andhra Pepper Chicken Recipe - Dry Restaurant Style Pepper Chicken,Refried Beans and Mushroom Tostada Recipe ,"Eggless Strawberry, Rose And Pistachio Cake Recipe",0.58,Medium,40,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
51,Summer,Lunch Combo (Main+Side+Dessert),Slow Cooker Mexican Chicken Stew Recipe,Grilled Vegetable and Oat Salad Recipe with Feta Cheese,Whole Wheat Lemon & Cranberry Muffins Recipe,0.6,Medium,31,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
52,Summer,Dinner Combo (Soup+Main+Beverage),Slow Cooker Mexican Chicken Stew Recipe,Afghani Dhoog Recipe - Cucumber Mint Buttermilk/ Chaas,Whole Wheat Lemon & Cranberry Muffins Recipe,0.58,Medium,42,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
53,Summer,Lunch Combo (Main+Side+Dessert),Gujarati Kadhi Recipe - Sweet and Spicy Gujarati Kadhi,"Moroccan Fennel, Roasted Beet & Citrus Salad with Fennel-Beet Yogurt Dressing Recipe",Frozen Strawberry Souffle Recipe,0.6,Medium,27,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
54,Summer,Dinner Combo (Soup+Main+Beverage),Gujarati Kadhi Recipe - Sweet and Spicy Gujarati Kadhi,Peanut Cucumber Salad Recipe,Frozen Strawberry Souffle Recipe,0.535,Medium,40,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
55,Summer,Lunch Combo (Main+Side+Dessert),Gujarati Kadhi Recipe - Gujarati Kadhi Recipe,Saunf Wali Hari Gobi Sabzi Recipe - Cauliflower Spiced with Fennel and Green Chutney,Whole Wheat Lemon & Cranberry Muffins Recipe,0.6,Medium,39,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
56,Summer,Dinner Combo (Soup+Main+Beverage),Gujarati Kadhi Recipe - Gujarati Kadhi Recipe,Afghani Dhoog Recipe - Cucumber Mint Buttermilk/ Chaas,Whole Wheat Lemon & Cranberry Muffins Recipe,0.58,Medium,40,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
57,Summer,Lunch Combo (Main+Side+Dessert),Ribs With Guava Barbecue Sauce Recipe,Lauki Raita Recipe - Grated Bottle Gourd Yogurt Salad,Orange & Date Muffin Recipe,0.492,Medium,36,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
58,Summer,Dinner Combo (Soup+Main+Beverage),Ribs With Guava Barbecue Sauce Recipe,Moong Dal Khasta Kachori Recipe,Orange & Date Muffin Recipe,0.427,Medium,39,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
59,Summer,Lunch Combo (Main+Side+Dessert),Gujarati Kadhi Recipe - Sweet and Spicy Gujarati Kadhi,Classic Indian Sliced Salad Recipe,Frozen Strawberry Souffle Recipe,0.555,Medium,29,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
60,Summer,Dinner Combo (Soup+Main+Beverage),Gujarati Kadhi Recipe - Sweet and Spicy Gujarati Kadhi,Bhakri Chaat Recipe With Green Moong Sprouts And Aloo,Frozen Strawberry Souffle Recipe,0.535,Medium,37,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
61,Winter,Lunch Combo (Main+Side+Dessert),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Bendekayi Puli Koddel Recipe - Lady Finger In Coconut Tamarind Curry,Paul Cassri Recipe - South Indian Style Milk Kesari,0.447,Medium,38,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
62,Winter,Dinner Combo (Soup+Main+Beverage),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Cauliflower Palak Methi Muthia Recipe ,Paul Cassri Recipe - South Indian Style Milk Kesari,0.427,Medium,44,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
63,Winter,Lunch Combo (Main+Side+Dessert),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,Dal Palak Recipe With Moong & Masoor Dal,Shahi Tukda Gajar Halwa Shots With Rabri Recipe,0.555,Medium,29,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
64,Winter,Dinner Combo (Soup+Main+Beverage),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,"Millet Cottage Cheese Fritters Recipe-Flavored With  Za'atar,",Shahi Tukda Gajar Halwa Shots With Rabri Recipe,0.58,Medium,37,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
65,Winter,Lunch Combo (Main+Side+Dessert),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Maharashtrian Style Dashmi Roti Recipe (Jaggery Flatbread) ,Baked modak and karanji/gujiya recipe,0.447,Medium,27,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
66,Winter,Dinner Combo (Soup+Main+Beverage),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Paneer Satay Recipe,Baked modak and karanji/gujiya recipe,0.427,Medium,44,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
67,Winter,Lunch Combo (Main+Side+Dessert),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,Gambang Recipe Bread (Indonesian Bread Recipe),Dry Fruit Halwa Recipe,0.6,Medium,42,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
